feature,beta,lambda
basement_finished_area,0.1768769605657497,0.5346692443085597
bedroom_abvgr,0.0,1.0077882655730843
bsmt_unf_sf,0.05329205657376142,0.3727207968279864
exterior_developed_area,0.030174223143808687,0.3756450913349472
fireplaces,0.03512763775805322,0.4244119727949797
full_baths,0.01810265329324283,0.806573871369346
garage_area,0.053230711710401966,0.890847062673015
garage_cars,0.051839452893459134,1.147683663355076
garage_yr_blt,0.0,1.4917438857177931
gr_liv_area,0.2960904395604841,0.559250913493236
half_baths,-0.0,0.1821039667710067
lot_area,0.08669717420250501,0.3117278173385616
lot_frontage,0.033665907366266526,0.7526763586534098
low_qual_fin_sf,-0.0,-27.314430323434383
other_rooms_above_grade,0.02616715142469436,0.6318448695786618
overall_cond,0.06778538325539396,0.7786664977464661
overall_qual,0.16714578122887538,0.8279810461639906
pid_9,0.0,0.8696827827372695
sale_timestamp,-0.0,0.9874732279434562
shifted_id,-0.0,0.8369145310126141
year_built,0.14617090109911576,1.4647478464972208
year_remod/add,0.02675643171672604,1.5668167200325738
alley_Pave,-0.007707815471893315,-40.46121176131698
alley_Grvl,-0.0,-36.1910350834237
bldg_type_1Fam,0.035991127290749575,8.051562267238422
bldg_type_TwnhsE,-0.0,-17.591778806157937
bldg_type_Twnhs,-0.0,-39.58394516446735
bldg_type_2fmCon,-0.0,-79.16789047823612
bsmt_cond_TA,-0.0,13.044645098366054
bsmt_cond_Gd,0.0,-38.38443171151852
bsmt_cond_Fa,-0.0036764302401000146,-32.479135318170925
bsmt_cond_Po,-0.0,8.472135811722177
bsmt_cond_Ex,0.0014669625990893077,8.472135811722177
bsmt_exposure_No,-0.0014714467367978729,2.663953596360002
bsmt_exposure_Gd,0.04706948213934842,-15.830596882750331
bsmt_exposure_Av,0.010241550829297476,-9.663145163865991
bsmt_exposure_Mn,-0.0,-16.665071591918053
bsmt_exposure_nan,0.0,-50.667450746833765
bsmt_qual_TA,0.0,-0.8527962805285225
bsmt_qual_Gd,-0.0,-1.6939965038002944
bsmt_qual_Fa,-0.0,-45.238794492463164
bsmt_qual_Ex,0.06371741558837064,-17.350618268139378
bsmtfin_type_1_GLQ,0.03311719114920893,-4.436587710535657
bsmtfin_type_1_Unf,0.0,-4.288965618900401
bsmtfin_type_1_Rec,-0.011674501555188182,-12.039762104863604
bsmtfin_type_1_ALQ,0.0,-9.213507114638173
bsmtfin_type_1_BLQ,-0.00806109648199508,-18.357076250377656
bsmtfin_type_1_LwQ,-0.006194201456200813,-24.359331774771153
bsmtfin_type_2_Unf,0.010013158642516009,9.741739043534276
bsmtfin_type_2_BLQ,-0.0,-63.33431226735722
