id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,bsmt_unf_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,pool_qc,fence,misc_feature,mo_sold,yr_sold,sale_type,saleprice,shifted_id,year_month,sale_timestamp,pid_5,pid_9,basement_finished_area,half_baths,full_baths,other_rooms_above_grade,exterior_developed_area,price_per_area
109,60,RL,,13517,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,192.0,GasA,Ex,Y,SBrkr,725,754,0,1479,3,1,Gd,Typ,0,,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,,,,3,2010,WD ,130500,108,2010-3,1267401600000000000,1,0,533.0,1.0,2.0,2,44,88.23529411764706
544,60,RL,43.0,11492,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,276.0,GasA,Ex,Y,SBrkr,913,1209,0,2122,4,1,Gd,Typ,1,TA,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,,,,4,2009,WD ,220000,200,2009-4,1238544000000000000,1,0,637.0,1.0,3.0,3,74,103.67577756833177
153,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326.0,GasA,TA,Y,SBrkr,1057,0,0,1057,3,1,Gd,Typ,0,,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,,,,1,2010,WD ,109000,152,2010-1,1262304000000000000,1,0,731.0,0.0,2.0,1,52,103.12204351939451
318,60,RL,73.0,9802,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,384.0,GasA,Gd,Y,SBrkr,744,700,0,1444,3,1,TA,Typ,0,,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,,,,4,2010,WD ,174000,317,2010-4,1270080000000000000,0,1,0.0,1.0,2.0,3,100,120.49861495844875
255,50,RL,82.0,14235,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,TA,TA,PConc,Fa,Gd,No,Unf,Unf,676.0,GasA,TA,Y,SBrkr,831,614,0,1445,3,1,TA,Typ,0,,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,,,,3,2010,WD ,138500,254,2010-3,1267401600000000000,0,1,0.0,0.0,2.0,2,59,95.8477508650519
138,20,RL,137.0,16492,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,557.0,GasA,Ex,Y,SBrkr,1888,0,0,1888,2,1,Gd,Mod,1,Gd,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,,,,6,2010,WD ,190000,137,2010-6,1275350400000000000,1,0,960.0,1.0,2.0,3,0,100.63559322033899
2827,180,RM,35.0,3675,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,0.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,2,1,TA,Typ,0,,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,,,,6,2006,New,140000,521,2006-6,1149120000000000000,0,1,547.0,0.0,3.0,2,44,130.59701492537314
145,20,RL,,12160,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,188.0,GasA,Fa,Y,SBrkr,1188,0,0,1188,3,1,TA,Typ,0,,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,,MnPrv,,5,2010,COD,142000,144,2010-5,1272672000000000000,1,0,1000.0,0.0,2.0,2,0,119.52861952861953
1942,20,RL,,15783,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,632.0,GasA,TA,Y,SBrkr,924,0,0,924,2,1,TA,Typ,0,,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,,MnPrv,Shed,6,2007,WD ,112500,330,2007-6,1180656000000000000,1,0,292.0,0.0,1.0,3,324,121.75324675324676
1956,60,RL,70.0,11606,Pave,,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,PConc,Gd,TA,Av,Rec,Unf,390.0,GasA,TA,Y,SBrkr,1040,1040,0,2080,5,1,Fa,Typ,2,TA,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,,,,9,2007,WD ,135000,344,2007-9,1188604800000000000,1,0,650.0,3.0,1.0,3,335,64.90384615384616
1044,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,96.0,GasA,TA,Y,SBrkr,483,504,0,987,2,1,TA,Typ,0,,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,,,,7,2008,COD,85400,54,2008-7,1214870400000000000,1,0,387.0,1.0,1.0,1,0,86.52482269503547
2752,20,RL,64.0,7488,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,815.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,2,1,Gd,Typ,0,,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,,,,2,2006,WD ,183600,446,2006-2,1138752000000000000,0,1,393.0,0.0,2.0,3,163,151.98675496688742
807,70,RL,120.0,26400,Pave,,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,,,,,,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,4,1,TA,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,,,,6,2009,WD ,131000,463,2009-6,1243814400000000000,0,1,0.0,0.0,1.0,2,0,64.98015873015873
1177,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,147.0,GasA,Ex,Y,SBrkr,962,645,0,1607,3,1,Gd,Typ,0,,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,,,,12,2008,ConLD,200000,187,2008-12,1228089600000000000,1,0,813.0,1.0,3.0,3,169,124.45550715619166
1480,20,RL,74.0,9627,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1327.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,3,1,Gd,Typ,0,,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,,,,6,2008,WD ,193000,490,2008-6,1212278400000000000,0,1,24.0,0.0,2.0,2,50,141.80749448934606
324,20,RL,93.0,10114,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,Unf,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,3,1,Gd,Typ,0,,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,,,,3,2010,WD ,173500,323,2010-3,1267401600000000000,0,1,0.0,0.0,2.0,3,0,121.32867132867133
